,分词结果,label,act_label,预测结果,人工分类
595,超额 请教 现金 预约 借款 超额 卡里 块钱 预约 借款  超额  求解,18,18,账务查询,账务查询
596,登录 不上 一年 多前 注册 买单吧 卡 登录 不上 软件 删 几次 下载,0,0,APP,APP
597,手里 沃尔玛 卡 申请  玩有 告诉 麽  额度 共享 申请  沃尔玛 浪费 积 分 月 全额 消费  过账 一个月  月  积分 一年 早些 年 索性 办  打算 沃尔玛 消费  积分 剩下 刷  告诉 后期 玩  白刷 积分兑换 玩意 划算 里程 商城 物品 说 申请 卡种 玩,16,16,积分,积分
598,邀请 白金 真的假 月 刚过 账单 周期 买单吧 收到 条 信息 群发 人能 收到 申请 几率 大不大 卡 有没有 申请,13,13,申请,申请
599,一万 沃尔玛 菜卡 用云 闪付 扫码 交易  云闪付  跳出 窗口 交易 触发 银联 风 控系统 交易 成功,16,16,积分,积分
600,白麒麟 海淘 日亚上 买 东西 算 海外 消费 积分 算,16,16,积分,积分
601,逾期 懂得 大哥 求 指教  涉嫌 恶意 欺诈 行将 启动 司法 诉讼 流程 后续 居委会 村 书记 公安人员 上门 情况 请 身份证 复印件 两张 一寸 蓝底 免冠 照片 两张 相关 材料 签收 提前 告知 到位 请 回电  逾期 月 不到 两万多 不到 两万 年前 手里 钱 紧张 一分 打电话 没接 收到 短信 起诉,20,20,还款,还款
602,风控 风控,0,0,APP,APP
603,第一天 收到 规范 用卡 短信 真 敬业 上班 发短信 有木有 收到,13,15,申请,短信
604,有个 京东 最红星期五 付款 没减  减 立减 怎么回事,10,10,市场活动,市场活动
605,张 卡 额度 调平 青年 卡    年 办卡 第一张 卡是 二卡  年 办  金卡 三卡 年 月 办  涨到  上个月  里 临时  固定 额度 提 额度  悠然 白金卡 四卡 年 月 申请 下卡  收到 账单 全款  里 申请 固定 调额 同意 查 征信 调到  金卡  悠然  卡 青年 卡  沃尔玛 卡  额度 调平,22,22,额度调整,额度调整
606,临时 到期 账单 日 为啥 临时 不用 临时 硬 塞 摸不透,19,19,账单,账单
607,交通卡 临时 额度 逾期 交通卡 临时 额度 逾期 卡 冻结 客服 打电话 说 卡会 真的假,22,22,额度调整,额度调整
608,白麒麟 . 万 额度 逾期 封卡 朋友 母亲 . 万 额度 事情 导致 逾期 月 现 欠款 结清 冻结 额度 . 万 降到 万 客服 销卡 张卡 求 指点,22,4,额度调整,信用记录
609,逾期 一共 张卡 默认 那张 电话 点 封卡 楞 风控 前 几天 回想 说 卡号 去查 逾期,20,4,还款,信用记录
610,自选 积分 生日 十倍 积分 完 犊子,16,16,积分,积分
611,二卡 六期 账单 时间 算 首卡金卡 四个 月 账单 白金 额度 想 销户 金卡用 白金 问 首提 账单 算了 四期 往后,19,19,账单,账单
612,白麒麟 邀请 白麒麟 权益 值得 申卡 如题 中石化 网络 通道 最红星期五 关闭 意义 机场 权益 不太 用得上 一年 坐 两次 飞机,10,10,市场活动,市场活动
613,刚下 沃尔玛 曲线 昨晚 找 车头 网申 金卡 额度  曲线,22,22,额度调整,额度调整
614,说 证件 到期 到期 人工 客服 说 到期 影响 用卡 网点 更新,8,1,好享贷,个人信息
615,提额 提额 惊喜 款 例行 点 提额 按钮 提示 查询 人行 征信 有戏  秒 提升  惊喜  提了 %,22,22,额度调整,额度调整
616,白麒麟 三年 首提 放水 三年 终于 提到 四万 生日 当天 撸 积分 权益 不到 我爱你 恨,16,16,积分,积分
617,首提 首提 期 账单 临额,19,19,账单,账单
618,好享贷 不用 过期 提额 新户  升级 批  月 提 固定 点击 十几秒 失败 征信 贷后 提 .  临额 月  过期  搜索 人品指数 文章 提示 .  临额 点击 临额 失败 第二天 出如图 好享贷 固定 临时,8,8,好享贷,好享贷
619,小白 免费 咨询 前 几天 收到 短信 说 尊敬 消费 达标 尾号 白金 获赠 . 元年 费 刷卡金 有效期 年 抵扣 年 白金卡 年费  年 年费 月份 被扣  好事 年费 返还,10,10,市场活动,市场活动
620,临额 调整 失败  还清 本期 账单 天 万 调 怎么回事 能调,20,20,还款,还款
621,搬 砖 办卡 任意 持续 天 自然 月 搬 砖 办卡 任意 持续 天 自然 月,13,13,申请,申请
622,沃尔玛 刷卡金 换 刷卡金 试 好久 成功,16,16,积分,积分
623,京东 消费 沃尔玛 卡 没积分  没积分,16,16,积分,积分
624,万年不提 破 三年 毛 临时 固定 破,20,10,还款,市场活动
625,临额 临额 刷 太少 月 帐单  块 月 提固 两个 月,20,8,还款,好享贷
626,秒 拒 原因 提交 提示 买单吧  点击 提交 一步,0,0,APP,APP
627,心好 累 浪费 征信 调 额度 表面 笑嘻嘻,22,22,额度调整,额度调整
628,垃圾 提  垃圾 一笔 房贷 月   扯淡,20,20,还款,还款
629,短信 广告,10,10,市场活动,市场活动
630,啥意思 风控 帮 刚刷 完 短 信 风控 类似 情况  跳 昨天 账单 日 临时  一看  提固,19,19,账单,账单
631,白金 调额 沃尔玛 卡 共享 额度 高度 额度 共享 调平 情况 金卡 额度 金  办法 调 白金,22,22,额度调整,额度调整
632,万年不提 额 破 五六年 提 破 消了 重申,20,20,还款,还款
633,好几个 电话 受不了 我卡 到期 换 一茬 额度 涨 好意思 偶像 图,8,8,好享贷,好享贷
634,业务员 上门 两天 买单吧 信息 碰到 假 碰到 那种 骗 资料 坏蛋 半个 月 前 手抖点 申请 一半 申请 算 申请 前两天 发短信 说 客户经理 上门来 还给 工号 告诉 固定 工作 电话 倒 打电话 手机号码 短 信 工作 电话 上门 填完 资料 两天 一点 动静 想,13,13,申请,申请
635,收个 周周刷 刷 保温杯 未 拆封 直邮 走 咸鱼 卖 留下 价格,10,10,市场活动,市场活动
636,苏宁 电器 线下 刷 沃尔玛 卡 积分 万万 没想到 购物 积 分 这积分 太 .... 识别 哪家 商户 刷卡 积分 医院 物业费 这类 之外,16,16,积分,积分
637,打电话 邀请 升级 白金卡 谱 用卡 一年 金卡 电话 邀请 升级 白金卡 问 年费 说 开卡 激活 消费 三笔  免除 年费 忘记 问 升级 额度 涨 谱 套路 有没有 升,19,22,账单,额度调整
638,一轮 团 刷 钱 一轮 团 刷 钱  名额 我选 蓝牙 音箱 这轮 刷  够不够 一轮 .  喵 喵 打印机,20,10,还款,市场活动
639,风控 尊敬 卡仅 用于 日常 消费  柜面 取现 持卡人 需 规范 用卡 收集 保留 近期 发票 签购单 核对 交易 情况 谢谢合作,16,16,积分,积分
640,失望 临额 到期 提固额 提固 提临额 上次 提额 月 本来 月 提固额 月 临额 月 结束  号 账单 日  号 买单吧 调额 下午  一笔 晚上 提固额 晚上 查 征信 提额 失败 早上 提固 结果显示 调额 成功 提了 固额 提临额 提固额 临额  提了 固额 临额 反到,22,22,额度调整,额度调整
641,沃尔玛 一吻 终身 下卡  年 征信  次 垃圾 鸡 意识 佛系用 卡  万 年 . 万 年前   前 几天 金卡 秒 批  三年 三年 三年 马丹 积分 太 划算 升 额度,16,16,积分,积分
642,第二轮 奖品 时 发货 第二轮 奖品 时 发货 快递 发货,10,10,市场活动,市场活动
643,客服 确认 优质 普卡 额度  同一个 商户 月 刷 并未 收到 风控 短信 电话 月份 账单 娱乐场所 砖头 理财,19,19,账单,账单
644,临时 额度 到期 临时 额度 到期 账单 还款 临额 到期 还款,22,22,额度调整,额度调整
645,出水 一个月 终于 见到 三位数 分 今晚 搞 出水,10,10,市场活动,市场活动
646,河北 银监局 开罚单 受 处罚 近日 中国 银监会 河北 银监局 公布 行政处罚 信息 省内 多家 违规操作 处罚 冀 银监 罚 决字 号  号  号  号  号 石家庄 友谊 南大街 支行 违规 办理 个人行为 处 罚款 万元 戎素然 代小艳 违规 办理 贷款 业务 负 责任 范雷 李霞 违规 办理 贷款 业务 负 管理 责任 戎素然 禁止 终身 银行业 工作 三人 处以 警告 罚款,8,8,好享贷,好享贷
647,记仇 忌 多行 有卡 降额 销卡 四五年 行卡 想卡 想 问下 申请,21,21,销卡、销户,销卡、销户
648,苏宁 卡 降级 批金卡 有人 公众 号 文章 苏宁 卡新户 送 一年 超级 会员 相当于 升级版 网申 秒 批 降级 成 万 金卡,10,13,市场活动,申请
649,好享贷 . 本来 前段时间 临额 开 过期 .  好享贷 一个月 过期 求个 解 搞  有没有 点 方法 总 找个 店 帮刷 那怕 轰出来,8,8,好享贷,好享贷
650,一年 前用 好享贷 完 提额 无缘  哪位 说,8,8,好享贷,好享贷
651,交通卡 还款 溢 缴款 多出 万 取出 交通卡 还款 溢 缴款 多出 万 费用 取出 手续费 取现 费,20,20,还款,还款
652,白麒麟 留 龙腾 卡 代驾 用不着 留着 金卡 销掉 白金,10,0,市场活动,APP
653,高铁 贵宾室 求助 四个 可不可以 连续 刷 两次 各带,20,0,还款,APP
654,羊毛 挑战赛  刷卡金,10,10,市场活动,市场活动
655,二卡 进度 不见 下午 查不到,20,20,还款,还款
656,提额 冷冻 大法 五年 提固额 卡里 额度 最低 不想 冷冻 大法,22,22,额度调整,额度调整
657,积分兑换 白麒麟 年费 周末 收到 年费 抵扣 短 信 积分兑换  年 年费 奇怪 攒 积分 万 积分兑换 年费 兑换 年费 想 买单吧 更新 土豪 指数 兑换 年费 达标 次 手动 兑换 买单吧 更新 兑换 赖账 没想到 不用 手动 兑换 自动 兑换 真心 省 万积分 于省 年 万积分 真心 帖子,16,16,积分,积分
658,邀请 活动  积分  刷卡金 点击 右上角 信封 ― ― 活动 优惠 . 邀请 无意 中 差点 错过 消费 达标  奖励 详细 图,10,10,市场活动,市场活动
659,白麒麟 到手 月 刚下 标准 金 前 几天 收到 买单吧 公众 号 信息 邀请 办理 白金卡 客服 电话 问是 群发 内容 读 客服 听 答复 点击 链接 万事达 标准 白金卡 第二天 收到 打开 包装 简陋 信封 封面 画 好看 额度  郁闷 万事达 磁条卡 绑定 云闪付 看清 图片,13,13,申请,申请
660,临时 额度 上次 临时 .  上个月  号 到期 账单 临时 提 固定 额度 有用吗,22,22,额度调整,额度调整
661,老铁见 白麒麟 额度 老铁见 额度,22,22,额度调整,额度调整
662,短信 月 号 更改 配送 信息 短信 月 号 更改 配送 信息,10,7,市场活动,卡片维护
663,万 周 排名 刷 周 . 排名 . 万  万 周 排名 选 耳机 稳不 求 意见,16,16,积分,积分
664,月 分越 礼 京东 快递 打电话 莫名其妙 东西 拿到 一看 送 背包,20,20,还款,还款
665,十年 提额泪 持有 逾 十年 有余 当初 一万多 升到 这货 原地踏步  有次 客服 正经 回访 小姐姐 回答 情况  买菜 日常 消费 富余 额度 需求 多样化 消费 提升 信用 评估 昨天 某件事 致电 客服 说起 事情 客服 持 额度 卡片 柜台 办理 评估 额度 问 渠道 小姐姐 答到 以卡办卡 持 卡去 办理 想到 柜台 需求 算了 资金 富余 玩意 留 差劲 建行 好歹 几次 提额 缺钱 百分之五十 临时 珍爱 生命 远离 贡献 提额 一律 留 害群之马 拉低 授信,22,22,额度调整,额度调整
666,农行 提额 封卡 喜闻乐见 封卡来 月 一百两百 老农 提额  封卡 血 教训 告诉 娇娇 慢慢,22,22,额度调整,额度调整
667,说 来回 倒 啥意思 上午 电话 拒绝 下午 拒绝 说 来回 倒 没意思 说 倒 怂 说换 说法 说 优惠 五折 挂 直白 一半多 真实 消费 外卖 付款,10,10,市场活动,市场活动
668,出炉 沃尔玛 卡 热乎 说 卡积分 值钱 贡献 次 人头 没想到 成功 卡 卡积分 共享 尊敬 沃尔玛 银联 金卡于  审核 信用 额度  元 工作日 买单吧  查询卡 函 邮寄 进度 下载,16,6,积分,卡寄送
669,求助 上次 消费 剩 . 刷 一笔  短 信 提醒 剩 . 没刷 没收 短 信 提醒,20,20,还款,还款
670,销卡 一年 终于 还清 打电话 解封 一个劲 提供 小票 小票 白搭 销卡,21,21,销卡、销户,销卡、销户
671,提额 查询 征信 求教 老师 点 提额 同意 查询 征信 查询 失败 下个 账单 日 账单 失败 方法 破 临时 没敢 提,19,19,账单,账单
672,人品分 低 提固 如题,20,20,还款,还款
673,最红 权益 一改 沃尔玛 心情 刷  本来 月 撸 撸 外卖 红包 美滋滋 元 门槛 高 想 消,10,10,市场活动,市场活动
674,白麒麟 刷 一万多 超市 跳码   跳到 超市  费率 . . 我查 唯一 答案 刷 一万多  地区 码  查 地区 本来 刷 珠宝,16,8,积分,好享贷
675,人品分 下降 前几次 账单 日前 降到  恢复  五号 账单 日前 几天 降到,19,19,账单,账单
676,稀里糊涂 中铁 卡  额度 学生 半年前 身为 学生 如实 填写 信息 卡 拒 在意 本来 没指望 已有 . 万 额度 电话 说 核实 填写 信息 卡 没当回事 说 信息 真假 参合 挂断 电话 十几分钟 短信 说 中铁 普卡  额度 魔 怔,22,22,额度调整,额度调整
677,曲线 成功 用新卡 几期 提额 曲线 成功 用新卡 几期 额度 期 临时 固定 每次 点,22,22,额度调整,额度调整
678,新办 卡 老婆 想 办个 交通卡 车子 辆 新买 家 公司 美 社保 房产 办个 额度 张 华夏,20,13,还款,申请
679,周五 沃尔玛  积分 买 买  购物 卡 减  支付  几天 账单 抵扣 .,16,16,积分,积分
680,用卡无忧 早上 短信 重没定 强制 消费,10,10,市场活动,市场活动
681,这特 情况 盯上 尊敬 卡仅 用于 日常 消费  柜面 取现 持卡人 需 规范 用卡 收集 保留 近期 发票 签购单 核对 交易 情况 谢谢合作,16,16,积分,积分
682,生日 五倍 积分 淘宝 买 东西 支付宝 支付 五倍 积分 刷卡 打算 买 两部 手机,16,16,积分,积分
683,求组 好享贷 人品分  稳定 开通 概率 开通 求组 好享贷 人品分  稳定 开通 概率 开通,8,8,好享贷,好享贷
684,曲线 二卡 提额 一说 有没有 屌 养卡 太慢,20,20,还款,还款
685,网点 网点 网点 网点 萨芬 撒 飞洒 发 网点 网点 进件 慢,20,20,还款,还款
686,连续 月 还够 最低 后果 降额 月  月 款 最低 后果 打电话 通讯录 法律 后果 反正 打算 完 销卡,20,21,还款,销卡、销户
687,奇葩 情况 无脑 提额 申 情况 联名 红色 鲤鱼 卡  年 额度  半年 后疑 遭风 控降  平常 每月 平均 刷 笔 数百元 低 额度 干不了 四年  额度 太有 耐性 请教 张卡 植物 卡 提额 法子 告诉 平常 场景 刷卡 说 先 老卡 销掉 保留 老卡去 申请 保留 老卡去 申 下卡 额度 共享,22,22,额度调整,额度调整
688,白麒麟 注销 后能 申办 优逸白 月 刷卡 积 分 累计 万 眼瞅 交年费 有没有 办法 实在 不行 注销 申,21,21,销卡、销户,销卡、销户
689,帮 解答 号 账单 日 人品分  临额 已过期 代表 没出 临额,19,19,账单,账单
690,封卡 注销 申请 打电话 注销 怀疑 套现 提供 发票 注销 注销 后能 搬下来,21,21,销卡、销户,销卡、销户
691,网银有 优盾 电子 密码 器 收费 想开 网银 工具 收费,20,20,还款,还款
692,好下 卡 网申 网点 好下 办张 储蓄卡 存 几万 有利于 之间 徘徊 风控 羊毛,20,20,还款,还款
693,邀请 办 白麒麟 比好 中信 铁公鸡 前年 额度  网上 消费 提到  邀请 中信 年 提,10,10,市场活动,市场活动
694,进件 电邮 传真 渠道 网申 秒 批  想 进件 房本 车本,20,13,还款,申请
695,二卡 白麒麟 小时 动静  二卡 秒 批 秒 拒 请 回答 买单吧 提交 银联,20,0,还款,APP
696,提额 搞  搞 一笔  药店  来电 消费 反正 害怕,8,8,好享贷,好享贷
697,新年 玩家 竞猜 题 赚 积分 刷 手机 新 活动 新年 玩家 竞猜 题 赚 积分 活动 新年 玩家 中 找到 活动 答案 小白 一枚 大佬 分享 选择 选项 竞猜活动 押积分 档次 分为    四个 档次 答对 瓜分 奖池 分享 答案,10,10,市场活动,市场活动
698,破 买单吧 更新 成 点 退出 破,0,0,APP,APP
699,两张 卡 沃尔玛 卡 卡 积分 兑换 沃尔玛 刷卡金 两张 卡 卡 卡 积分 兑换 沃尔玛 刷卡金,16,16,积分,积分
700,东航 国航 白金卡 免 第二年 年费 东航 国航 白金卡 免 第二年 年费 免首 年 年费 第二年 万积分 减免 咋免,19,19,账单,账单
701,提额 真难 白金卡 好久没 动静 试 卡 提 上次 提额 记得 记得 时间 久   不算 见笑,22,22,额度调整,额度调整
702,卵 只能 意义,10,10,市场活动,市场活动
703,机场 权益 机场 龙腾厅 刷 二维码 验 身份证 银行卡,0,0,APP,APP
704,万 卡用 两年 封 看下 姿势 月 分 三次 存 刷卡 间隔 小时 三笔 存 分 天刷出 月 笔 星 通宝 点百趣 搭配 刷 月存  消费 五笔 再存 第二笔  短 信 风险 暂停 姿势,10,12,市场活动,支付
705,白麒麟 首卡金卡  一年 临时 昨天 收到 信息 额度 开卡 开会 扣年费,22,22,额度调整,额度调整
706,终于 好享贷 用卡 一年 上个月 提额  账单 日 发现 好享贷 想 问 啥时候 邀请,8,8,好享贷,好享贷
707,提额 惊喜 提额 惊喜 各卡 评估 额度 首卡  双标 红 鲤鱼 年 月首 月 账单 额度  三年 两次 提额  跟风 下卡时 红 鲤鱼 共享  红 鲤鱼 提到  致电 客服 告知 调平 额度 短信  提到  有图 真相,22,22,额度调整,额度调整
708,团 前 万名 刷 金额,0,0,APP,APP
709,买单 联盟 打不开 升级 买单 联盟 打不开 升级,10,10,市场活动,市场活动
710,无人机 没收 上周 京东 发货 收到 大面积 发货,10,10,市场活动,市场活动
711,我想 问下 刷卡 正确 姿势 随意 刷,20,20,还款,还款
712,临时 额度 两次 临时 额度 回短信 拒绝 几个 月 临时 额度 暂时 调额 风控 多人 封卡 降额 很方 木有,22,22,额度调整,额度调整
713,周周刷 算 参加 每次 要点 参加,10,10,市场活动,市场活动
714,拿到 沃尔玛 卡 请教 额度  请教 平时 手头  机 用不上 只能 里 买 东西 首刷 礼,16,17,积分,积分乐园
715,优逸白 申卡 卡 想张 只能 申请 套卡 单独 申请 银联,13,13,申请,申请
716,白白浪费 首卡 名额 打电话 推销 办卡 实在 耐不住 烦 同意 办 说 只能 从金卡 尊下 中铁 金卡 大爷 额度 万块 本尊 地址 写错  金卡 网点 进件 财力 证明 首卡去 开卡 补充 网点 大堂 说 不用,13,13,申请,申请
717,白麒麟 卡 . 月 日下 当月  日 激活 该卡 缴纳 第二年 年费 想 销了 该卡 晚 注销 解释 俩,0,21,APP,销卡、销户
718,两年 首提 更久 两年 首提 更久 期间 出过 临时 临时 试,20,20,还款,还款
719,昨天 我试 申请 优逸白 昨天 我试 青年 卡 环球 卡 真 优秀 我发 图片,13,13,申请,申请
720,周周刷 活动 一块 玩 周周刷 活动 一块 玩,10,10,市场活动,市场活动
721,占 占 额度 期 手续费 . 买 理财 . 做 赚,8,8,好享贷,好享贷
722,很久很久 提额 . . 批  行后 额度 再也 提不动 几家 降额 负债 太高 昨晚 闲来无事 点 买单吧  固定 提了,22,22,额度调整,额度调整
723,沃尔玛 卡 半年 首提 签到   老婆 卡  首提 %,16,16,积分,积分
724,帮忙 看下销 哪张 建和交销 哪张 麻烦 帮忙,0,0,APP,APP
725,选 杯子 刷 选 杯子 多小有 机会,10,10,市场活动,市场活动
726,玩 年 头 破 大学毕业 首卡 玩 四年 去年 消卡 半年 申 秒 批  九个 月 首提 好动,20,20,还款,还款
727,申请 月份 拒,13,13,申请,申请
728,负积分 前段时间 薅 羊毛 成,20,20,还款,还款
729,加办 优逸白 暂时 查不到 进度,13,13,申请,申请
730,号 账单 昨天 昨天下午 逾期 短信 赶紧 客服 打电话 客服 说 逾期 确认 一遍 打开 买单吧 红色 标注 逾期 客服 说 逾期 没上 征信 赶紧 没收 一条 账单 短信  块钱 . 万年不提 额 销卡,4,4,信用记录,信用记录
731,申请 白麒麟 动静 买单吧 填完 资料 办卡进度 短 信 提醒,0,0,APP,APP
732,资料 填 一半 后悔 不想 早上 打电话 核实 资料 说 提交 审核部 废话 推荐 办卡 有奖  废话,13,13,申请,申请
733,时隔 年 批卡 额度 批卡  年 标准 金卡 额度 万多 年 万 环境 普降 一怒之下 销卡 不理  年 年初 网申 金卡 拒 提示 他行 总 授信 过高 不理 论友 点拨 申 成功 批卡 速度 很快 分钟 图 帖子 司机 帮 精简 卡 感谢 降级 批 金卡 上传 图片,22,22,额度调整,额度调整
734,行 调额  准时 调额    幅度 调,22,22,额度调整,额度调整
735,沃尔玛 卡有 留 额度 实在 低 不好 提额 不太想 留 京东 到付 刷卡 积分 一年 撸 十万 京东 到付,16,16,积分,积分
736,消掉 帮忙 看下销 民生 精英 月  提莫金卡 月 下卡  精英 月 下卡   月 下卡  铁路 金卡 月 下卡,20,0,还款,APP
737,情况 好下 卡 额度  额度 提供 营业执照 烟草 证 年龄  撸 网贷 完 卡,22,22,额度调整,额度调整
738,沃尔玛 卡刷  加油 消费 积分 我刷 两笔 没积分 中石化 正规  两笔 计入 周周 累积 消费  没积分,16,16,积分,积分
739,二卡 曲线 优逸白 二卡 曲线 首卡  能下 额度,8,8,好享贷,好享贷
740,白麒麟 换 里程 积 分 账 下换 南航 积 分 几个 工作日 账 着急 换票 出去玩 换 问下 换 里程 账 在线,16,16,积分,积分
741,风控 太 封卡 .  额度 封卡  点击 人工 台 发了 一条 信息 上传 半年前 刷卡 凭证 刷卡 凭证 不见 情况 有没有 办法 补救 有没有 懂 大哥 大姐 教教 小弟 万分 感谢 权限 图,12,12,支付,支付
742,这要 提 白金卡 给我发 短信 说 升级 白金卡 回复 代码 办理 金卡  额度,13,13,申请,申请
743,标准 普卡  未激活 优酷 金卡  留 普卡 风控 只能 期是 用优 酷好 普卡好,13,13,申请,申请
744,打电话 问 积分 兑 沃尔玛 刷卡金 沃尔玛 联名卡 双卡 名下 两张 金卡 优异 万分 发现 刷卡金 兑换 万分 兑  刷卡金 比例 太 牛 想 手持 这张 神卡 申 张有 不好 地方 卡 额度  白金卡 好处 参加 参加 活动 不想 销 看法,16,16,积分,积分
745,过分 一笔 十年 护体 客气 风控,20,20,还款,还款
746,总行 打电话 办理 保险业务 办理 保险业务,8,8,好享贷,好享贷
747,买单吧 新户  豪礼 等你拿 框架 性 简介 回帖 回礼 新 老卡友 买单吧 推出 新人 有礼 活动 专享 三重 礼遇 见面礼 黄金 礼 钻石 礼 每日 福利 详情 买单吧  细阅 即日起 回帖 送 经验值 每人 仅限 赠送 截止 月 日 上午 点止 期间 回帖 卡友 获赠 经验值,10,10,市场活动,市场活动
748,想 周周刷 . 万 周 周 排名 如题 想 周周刷 . 万 周 周 排名 这能 选 发 图 张卡 周 . 万 求 . 万左右 周 排名,10,10,市场活动,市场活动
749,下卡 白麒麟 发了 两张 卡 求助 大伙 白麒麟 图案 银联 单标 卡 印着 梅花鹿 万事达 单标 卡,20,20,还款,还款
750,求助 还款 账 时间 我用 网上银行 还款 女朋友 账 实时 账 晚 几点 转过 哪位,20,20,还款,还款
751,白麒麟 卡想消 没什么 境外 路子 最红星期五 加油站 不卖 油卡 周周刷 刷 三十万 换 里程 换 没人要 看不到 卡 价值,10,10,市场活动,市场活动
752,太抠 额度  半年 时间 临时  破 固定 提,22,22,额度调整,额度调整
753,刷 钟表  卡 朋友 妈妈 一分 赚 上周五 一万 三天 刷 完 昨天 一万五 敢不敢 六千多 一笔 钟表店 朋友 八千 封 早上 下午 刷 交通卡 放,10,10,市场活动,市场活动
754,微信 申请 办卡 亲爱 抱歉 提供 信息 渠道 暂 接纳 年 销卡 网申,13,21,申请,销卡、销户
755,昨天 封卡 问 几遍 客服 还清 销卡 上传 交易 凭证 交易 凭证 月份 几笔 交易 客服 说 提供 近期 月份 交易 凭证 行不行 硬是 说 不行 实在 弄 火 说 投诉 银监会 客服 改口 天内 安排 工作人员 还清 销卡,8,21,好享贷,销卡、销户
756,周周刷 收件人 电话 更改 地址 变化,10,10,市场活动,市场活动
757,封 刚一 秒 封卡 解封,20,20,还款,还款
758,第一次 申卡 额度 太低 要养 没用过  用卡  娇行 小白卡 额度  养卡 销卡 不去 开卡 收费,22,22,额度调整,额度调整
759,周周刷 礼品  周周刷 礼品  全新 未 拆封 地点 湖北 武汉,10,10,市场活动,市场活动
760,新户 申卡 积分兑换 消费 买单吧  里 单笔  元  天内 消费 笔 即可 参加 活动 在线 下线 买单吧  里 购买,10,16,市场活动,积分
761,半年 一提 准时  半年  一年  号 账单 日 账单 日前 提到  忍住 提过 账单 日 提到  果断 提额,19,19,账单,账单
762,沃尔玛 买 礼品 卡 咸鱼 挂 一种 类别 开头 卡 绑定 微信 好像,16,10,积分,市场活动
763,收到 两张 优逸白 请教 开 第三 卡 额度 第一次 普卡 共享  注重 额度 卡友 申请 额度 低 提额 难 上岸 国 卡费 好像  刷 次 免是 不开 卡不扣 年费,22,22,额度调整,额度调整
764,.  选 云台 排名 三万 耳机,20,16,还款,积分
765,保护费 高  一年 月  真想 销卡,21,21,销卡、销户,销卡、销户
766,首提 账单 日后 试 几次 调 首提 % 太少,19,19,账单,账单
767,薅 羊毛 薅 一根 羊毛 实在 对不起 额度,20,8,还款,好享贷
768,期 账单 啥时候 提 额度,19,19,账单,账单
769,逾期 急急 急 友们 困难 欠  块 本金 本金 利息  块 月 还款 一点 电话 接 电话号码  接听 上个星期 深圳 发了 家门口 图片 有没有 上门 固话 想 问下 会上 门 电话 接 接 说 案件 盖章 往下 久 说 反正 找到 工作 抱 父母 电话 说 配合 打电话 打来,5,5,催收,催收
770,提示 调额 次数 过多 鬼 账单 掐指一算 六个 账单 早上 美滋滋 打开  点 调额  调额 次数 过多 鬼,19,22,账单,额度调整
771,太 游戏机 台 台 路上 如题 本来 薅  台 刷 张卡 每张 卡 各刷  万 亏了 四个 真 后悔 死,20,10,还款,市场活动
772,提额 民生 首提 主养 用卡有 姿势,20,0,还款,APP
773,业务员 进件 秒 拒 业务员 上门 办理 秒 拒,8,8,好享贷,好享贷
774,人品指数  临额 好享贷 固额 月 人品指数  临额 好享贷 如图 青年 卡固额  没提 卡友们 说 说 提固额 姿势,8,8,好享贷,好享贷
775,积分兑换 航空 里程 老铁们 说 白金 积分 兑 里程 划算 指 兑 哪家 里程 兑换 礼品 老铁们 解答 笔芯,16,16,积分,积分
776,卡友 卡少 不想 想下 秒 拒 总 授信 太高 狗屁 理由 几十万 高 想 小白卡 省份 市 选 唯独 区 选项 空白  卡友 碰到 情况 手机 电脑 登陆 选 区,10,0,市场活动,APP
777,刷 上海 地铁 刚出 卡 魔 金卡 晚上 点 点刚 说 审批 坐 上海 地铁 月 节省 元,0,20,APP,还款
778,周周刷  拿到 保温杯 不想 参加 想 保温杯 算了 查  排  多名 保温杯 稳不稳 大奖 老板 留,10,10,市场活动,市场活动
779,电话 征信 拒 昨天下午 标准 银联 金卡 中午 电话 问 我些 工作 回答 挺 流利 电话 挂 拒 情况 几个 月 再战,9,9,客服热线,客服热线
780,到货 到货 耳机 收到,10,20,市场活动,还款
781,联通  提额 生气 生气,20,0,还款,APP
782,首卡 标白 下班 走 上海 金 科长 泰 广场 摊位 办理 行李箱 摆 几十个 看着 特别 热闹 凑 标准 白金 一分钟 额度 交了 一笔 话费 撸 箱子 回来 额度  工资卡,8,8,好享贷,好享贷
783,拒后 申请 自然 月 上次 拒 记录 持有 行卡 张数 负债,13,13,申请,申请
784,凤凰 金 注销 卡 剪掉 白金 热线电话 说 销卡 凤凰 金 客服 说 张 额度 . 万太低 欠款 扣款 信息 电话 销掉 说 帮 销掉 收到 销卡 信息 说 剪卡 收到 短 信 剪卡 哈哈哈,21,21,销卡、销户,销卡、销户
785,元 元 三期 手续费 元 一期 元 减免 抵扣 一期 一期 抵扣 剩余,8,8,好享贷,好享贷
786,有没有 经验 帮帮忙 我爸 刷 万 老人家 逾期 多月 沈阳 电话 自称 公安 抓 电话   元 钱 想 问问 协商 少 点 卡 额度 降到 元 恢复 协商 协商 请教,20,5,还款,催收
787,一晚 白金 帖子  额度 秒 白金 一晚 尊敬 标准 万事达 白金卡  审核 信用 额度  元 工作日 买单吧  查询卡 函 邮寄 进度,22,22,额度调整,额度调整
